Location,Site,Row,Column,BroadLeaf
,YP02_E,3,3,1
,YP02_E,3,4,1
,YP02_E,3,5,1
,YP02_E,3,6,1
,YP02_E,3,7,1
,YP02_N,1,0,1
,YP02_N,1,1,1
,YP02_N,1,2,1
,YP02_N,1,3,1
,YP02_N,1,4,1
,YP02_N,1,5,1
,YP02_N,1,6,1
,YP02_N,1,7,1
,YP02_N,2,0,1
,YP02_N,2,1,1
,YP02_N,2,2,1
,YP02_N,2,3,1
,YP02_N,2,4,1
,YP02_N,2,5,1
,YP02_N,2,6,1
,YP02_N,2,7,1
,YP02_N,3,0,1
,YP02_N,3,1,1
,YP02_N,3,2,1
,YP02_N,3,3,1
,YP02_N,3,4,1
,YP02_N,3,5,1
,YP02_N,3,6,1
,YP02_N,3,7,1
,YP02_S,1,0,1
,YP02_S,1,1,1
,YP02_S,1,2,1
,YP02_S,1,3,1
,YP02_S,1,4,1
,YP02_S,1,5,1
,YP02_S,1,6,1
,YP02_S,1,7,1
,YP02_S,2,0,1
,YP02_S,2,1,1
,YP02_S,2,2,1
,YP02_S,2,3,1
,YP02_S,2,4,1
,YP02_S,2,5,1
,YP02_S,2,6,1
,YP02_S,2,7,1
,YP02_S,3,0,1
,YP02_S,3,1,1
,YP02_S,3,2,1
,YP02_S,3,3,1
,YP02_S,3,4,1
,YP02_S,3,5,1
,YP02_S,3,6,1
,YP02_S,3,7,1
,YP02_W,1,0,1
,YP02_W,1,1,1
,YP02_W,1,2,1
,YP02_W,1,3,1
,YP02_W,1,4,1
,YP02_W,1,5,1
,YP02_W,1,6,1
,YP02_W,1,7,1
,YP02_W,2,0,1
,YP02_W,2,1,1
,YP02_W,2,2,1
,YP02_W,2,3,1
,YP02_W,2,4,1
,YP02_W,2,5,1
,YP02_W,2,6,1
,YP02_W,2,7,1
,YP02_W,3,0,9
,YP02_W,3,1,1
,YP02_W,3,2,1
,YP02_W,3,3,1
,YP02_W,3,4,1
,YP02_W,3,5,1
,YP02_W,3,6,1
,YP02_W,3,7,1
,YP07_C,1,0,1
,YP07_C,1,1,1
,YP07_C,1,2,1
,YP07_C,1,3,1
,YP07_C,1,4,1
,YP07_C,1,5,1
,YP07_C,1,6,1
,YP07_C,1,7,1
,YP07_C,2,0,1
,YP07_C,2,1,1
,YP07_C,2,2,1
,YP07_C,2,3,1
,YP07_C,2,4,1
,YP07_C,2,5,1
,YP07_C,2,6,1
,YP07_C,2,7,1
,YP07_C,3,0,1
,YP07_C,3,1,1
,YP07_C,3,2,1
,YP07_C,3,3,1
,YP07_C,3,4,1
,YP07_C,3,5,1
,YP07_C,3,6,1
,YP07_C,3,7,1
,YP07_E,1,0,1
,YP07_E,1,1,1
,YP07_E,1,2,1
,YP07_E,1,3,1
,YP07_E,1,4,1
,YP07_E,1,5,1
,YP07_E,1,6,1
,YP07_E,1,7,1
,YP07_E,2,0,1
,YP07_E,2,1,1
,YP07_E,2,2,1
,YP07_E,2,3,1
,YP07_E,2,4,1
,YP07_E,2,5,1
,YP07_E,2,6,1
,YP07_E,2,7,1
,YP07_E,3,0,1
,YP07_E,3,1,1
